键码=,.'abcdefghijklmnopqrstuvwxyz[]
码长=5
[数据]
a 對
aa 寸
aaa 鑫
aaa 龘
aaa 鑆
aaav 龘
aaar 鑆
aab 鎯
aadb 鎯
aadk 鋃
aado 鎗
aae 鐱
aaf 錢
aaj 鏵
aaja 鎛
aajq 鋪
aajw 銶
aak 鉒
aal 鑨
aam 錀
aan 鋃
aao 鉿
aaob 鐱
aaom 鑰
aap 鈴
aaqa 銊
aaqb 銊
aaqe 銊
aaqi 鉞
aaqn 鋮
aaqo 鍼
aaqq 錢
aaqs 鏚
aaqv 銊
aaqy 鋮
aat 鈴
aat 鉥
aatv 鉥
aax 鈸
aax 釴
aaxv 釴
aaxh 鋱
aaxi 鉽
aaxu 鈸
aaxx 鈸
aay 鈐
aay 鋮
aayv 鋮
aayo 鋡
ab 鎮
aba 鈽
aba 佘
abav 佘
abbe 鑯
abbo 鋊
abby 銼
abd 鈖
abd 鐠
abdv 鐠
abdm 鐊
abe 鐊
abea 鐏
abed 鐠
abef 鎰
abeu 鎙
abew 鎡
abew 鐩
abewv 鐩
abhi 鎈
abi 郎
abi 郕
abi 鄃
abiv 郕
abir 鄃
abj 鉡
abj 銔
abjv 銔
abk 銓
abk 鉼
abkv 鉼
abkd 鎂
abki 鎈
abkr 錓
abl 鈚
abn 佘
abn 釟
abnl 錈
abnp 錈
abo 鉛
abod 鐠
abor 銳
abp 鎗
abpd 鍇
abqp 銻
abto 錒
abu 鈆
ac 鏡
aca 釸
aca 蠪
acav 蠪
acc 鉹
acdj 鐔
ace 鎑
aceb 鐀
acew 錄
acf 鈮
ach 鏸
aci 鐘
aci 歛
aciv 歛
acj 鐘
acjo 鋸
acl 鈀
acn 鐸
acn 鉠
acnv 鉠
aco 銘
acr 劍
acrs 鏢
acs 鍊
acua 鏄
acuh 鏸
acw 鏈
acwc 钃
acyo 鋦
ad 會
ada 鈦
ada 會
adav 會
adac 飆
adad 猋
adax 飆
adb 錕
adb 鄶
adbv 鄶
adbs 鐐
adc 銫
adcl 銫
add 錩
addq 鎦
ade 鉭
ade 鋀
adev 鋀
adee 鎉
adei 歛
adem 鍚
adep 斂
adez 鍉
adfu 鏝
adg 銲
adj 鈄
adjr 錛
adk 銀
adk 良
adkv 良
adkb 郎
adku 朗
adl 鍻
adn 犬
adn 釱
adnv 釱
adnl 鍻
adnm 錫
ado 倉
ado 鈤
ado 鉊
adov 鈤
adof 鶬
adoq 戧
ador 創
adp 鉚
adr 劊
adrk 銙
adrs 錼
adrw 鑤
adsr 鎤
adto 錡
adub 郎
adui 欴
adur 剆
aduu 朗
aduy 塱
advm 鍚
adw 迖
adyy 鍷
ae 金
ae 僉
aea 鋝
aed 鎧
aed 龑
aedv 龑
aee 鈕
aee 錚
aee 𨦫
aeev 錚
aeem 鏐
aefu 鋄
aegu 鍰
aeh 鏽
aei 釽
aek 鋹
ael 鈍
aelg 錌
aem 鏐
aen 釽
aen 銕
aenv 銕
aenp 鑀
aenu 鋟
aeo 鉰
aeot 鎘
aep 錫
aep 鍚
aepv 鍚
aeru 鍛
aes 佘
aesi 鋞
aev 鏙
aevo 鑴
aew 鍵
aew 錄
aewv 錄
aex 鍰
aez 鉦
af 鑑
afa 鑄
afa 鑆
afav 鑆
afb 錪
afb 鏷
afbv 鏷
afc 鑼
afdd 鍥
afe 盛
afea 鑆
afed 鏷
afek 鐶
aff 鉅
aff 錟
aff 鉳
affv 錟
affd 鐒
affe 鏏
afft 鑅
afk 鈣
afk 鋠
afkv 鋠
afka 鎒
aflb 鐉
afn 鈥
afn 鉔
afnv 鉔
afnc 鐲
afo 銗
afo 鉕
afoe 彧
afoo 鏂
afp 鉲
afsv 鑼
afvd 鏃
afvz 鏇
afx 鏺
afy 鐸
afy 鈁
afyv 鈁
afyg 鐸
ag 威
aga 鈲
agca 鏘
age 錘
agea 鏘
agg 鍤
agiu 鎪
agj 釬
agjy 錘
agn 鈲
agn 鋏
agn 龑
agnv 鋏
agnr 龑
ago 鉗
ago 銛
ago 銣
agov 銛
agor 銣
agoh 懖
agq 鍾
agu 鎪
agua 鏘
agx 釹
agy 鎊
ah 感
aha 愈
aha 懟
aha 鈊
ahav 懟
ahar 鈊
ahdd 鍥
ahdw 鑗
ahf 鍬
ahk 錶
ahn 鉌
aho 鍺
ahp 鉍
ahr 銹
ahr 鏽
ahr 鋓
ahrv 鏽
ahrr 鋓
ahu 錆
ahx 鋑
ahx 鑀
ahxv 鑀
ai 俞
aia 鎛
aie 釭
aij 鋪
ain 欽
ain 歛
ain 欸
ain 歈
ain 欴
ainv 歛
ainr 欸
ains 歈
ainf 欴
aio 讋
aiq 鈾
aiv 銜
aix 鋨
aj 華
aja 鐼
ajak 鐵
ajb 鎮
ajcs 鋉
ajd 鐙
ajj 針
ajmb 鎮
ajn 鈌
ajn 鍉
ajnv 鍉
ajna 尃
ajnb 郙
ajnf 鵏
ajnp 敷
ajnq 甫
ajns 鎍
ajnw 逋
ajnz 鋍
ajo 鈷
ajqa 鏄
ajqb 銕
ajqh 鏸
ajqs 鍊
ajqu 鏺
ajrb 鐼
ajw 求
ajwf 盚
ajwh 慦
ajwk 裘
ajwp 救
ajww 逑
ak 駐
ak 鐵
akv 鐵
aka 鈺
akb 錤
akbl 鍖
ake 主
aki 釿
akj 鈃
akk 兮
akkb 鑕
akkd 鐕
akl 尤
akl 釚
akl 鈂
akl 鍖
aklv 釚
akls 鍖
aklb 鍖
aklr 鍖
akm 尨
akm 鍎
akm 鎎
akmv 鍎
akmr 鎎
ako 鍼
akoo 鑩
akp 龍
akpb 龔
akpk 襲
akpr 聾
akpy 壟
akr 鉶
akrl 鍖
akru 殶
aku 銩
akw 鋌
akx 錢
akx 釚
akxv 釚
akz 鑽
akz 釚
akzv 釚
al 也
al 龍
alv 龍
ala 鐐
alb 鏕
albf 鑣
albf 鐮
albfv 鐮
aldh 鐿
aldr 鏡
aleo 鎕
aleq 鏞
alew 鏮
alho 鎬
alhp 鐓
alhz 錞
alj 鋅
alk 襲
alk 銥
alkv 銥
all 釓
aln 鑲
aln 鈰
aln 銇
aln 錸
alnv 鈰
alnr 銇
alns 錸
alnf 鎊
alnn 鍗
alno 鏑
alno 鎬
alno 𨫢
alnov 鎬
alo 鉐
alo 礱
alo 錇
alov 礱
alok 鑲
aloo 鎬
alop 鐓
aloz 錞
alp 鏟
alpq 鐮
alps 鏟
alq 鐘
alq 鐮
alqv 鐮
