;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p22+p31
a4=p11+p21+p31+n11
[Data]
a 一
aa 一下
aaaa ㇀
aaaa ⼀
aaaa ㇐
aaac 一无可取
aaae Æ
aaag 无可无不可
aaal 百无一用
aaam 万无一失
aaam 天下无敌
aaar 可丁可卯
aaav 可歌可泣
aaaw 天下一家
aaax 天下无双
aaax 天下无难事
aaax 天下无难事，只怕有心人。
aabd ·
aabd …
aabd 々
aabd ！
aabd ∶
aabd ？
aabd 。
aabd 、
aabd “”
aabd ‘’
aabd ＂
aabd ．
aabd ，
aabd ；
aabd —
aabd ˉ
aabd ˇ
aabd ¨
aabd ～
aabd ‖
aabd ｜
aabd Ã
aabe 天干地支
aabg 乾☰
aabg 兑☱
aabg 离☲
aabg 震☳
aabg 巽☴
aabg 坎☵
aabg 艮☶
aabg 坤☷
aabg ⚊
aabg ⚋
aabk 天无二日
aabk 严正声明
aabl ～
aabl ﹏
aabl ﹋
aabl ﹌
aabq ☻
aabq ☺
aabq ☹
aabq 〄
aabq 〠
aabr 无一幸免
aabt 一干二净
aabx ã
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aacc 平平静静
aace Œ
aacf 百无聊赖
aacm 无可奉告
aaco ㏇
aadc 无可指责
aadd 严刑拷打
aade 无可救药
aadj 无可挽回
aadk 无可挑剔
aadt 殊死搏斗
aadw ℃
aadw °
aadw ℉
aadw ㎝
aadw ㎠
aadw ㎤
aadw ㎏
aadw ㎞
aadw ㏄
aadw ㏎
aadw ㎢
aadw ㎦
aadw ㎾
aadw ㎎
aadw ㎡
aadw ㎥
aadw ㏕
aadw ㎜
aadw ㏝
aadw ㏔
aadw ㎆
aadw ％
aadw ‰
aadw ‱
aadw 〒
aadw ㏈
aadw ㏖
aadw ㎄
aadw ㎅
aadw ㎈
aadw ㎉
aadw ㏅
aadw ㏆
aadw ㏉
aadw ㏗
aadw ㏘
aadw ㏙
aadw ㏚
aadw ㏛
aadw ㏜
aadw ㏊
aadw ㏋
aadw ㏌
aadw ㏍
aadw ㏏
aadw ㏐
aadw ㏓
aadw ㎬
aadw ㏃
aadw ㎕
aadw ㎖
aadw ㎗
aadw ㎘
aadw ㎙
aadw ㎚
aadw ㎛
aadw ㎟
aadw ㎣
aadw ㎍
aadw ㎩
aadw ㎪
aadw ㎫
aadw ㎧
aadw ㎨
aadw ㎭
aadw ㎮
aadw ㎯
aadw ㎰
aadw ㎱
aadw ㎲
aadw ㎳
aadw ㎐
aadw ㎑
aadw ㎒
aadw ㎓
aadw ㎔
aadw ㏀
aadw ㏁
aadw ㎊
aadw ㎋
aadw ㎌
aadw ㎀
aadw ㎁
aadw ㎂
aadw ㎃
aadw ㎴
aadw ㎵
aadw ㎶
aadw ㎷
aadw ㎸
aadw ㎹
aadw ㎺
aadw ㎻
aadw ㎼
aadw ㎽
aadw ㎿
aaed А
aaed Б
aaed В
aaed Г
aaed Д
aaed Е
aaed Ж
aaed З
aaed И
aaed Й
aaed К
aaed Л
aaed М
aaed Н
aaed О
aaed П
aaed Р
aaed С
aaed Т
aaed У
aaed Ф
aaed Х
aaed Ц
aaed Ч
aaed Ш
aaed Щ
aaed Ъ
aaed Ы
aaed Ь
aaed Э
aaed Ю
aaed Я
aaed Ё
aaed Á
aaef Æ
aaej 无形中
aaem 天下苍生
aaen 死无葬身之地
aaeq 死刑犯
aaeu 平型关
aaex а
aaex б
aaex в
aaex г
aaex д
aaex е
aaex ж
aaex з
aaex и
aaex й
aaex к
aaex л
aaex м
aaex н
aaex о
aaex п
aaex р
aaex с
aaex т
aaex у
aaex ф
aaex х
aaex ц
aaex ч
aaex ш
aaex щ
aaex ъ
aaex ы
aaex ь
aaex э
aaex ю
aaex я
aaex ё
aaex á
aaez 一开始
aafa 天下本无事，庸人自扰之
aafh ＠
aafh ＆
aafh ♂
aafh ♀
aafh №
aafh ＃
aafh §
aafh ‰
aafh ※
aafh ＼
aafh ＾
aafh ˇ
aafh ☆
aafh ★
aafh ○
aafh ●
aafh ◎
aafh ◇
aafh ◆
aafh □
aafh ■
aafh △
aafh ▲
aafh ▼
aafh ▽
aafh ◢
aafh ◣
aafh ◤
aafh ◥
aafh 〓
aafh ▓
aafh ™
aafh ℡
aafh ©
aafh ®
aafh ㍿
aafh ㈱
aafh ㊣
aafh ＿
aafh ￣
aafh ╬
aafh ﹏
aafh ℅
aafh ˉ
aafh ﹉
aafh ﹊
aafh ﹍
aafh ﹎
aafh ﹋
aafh ﹌
aafh ☎
aafh ☏
aafh ☑
aafh ☒
aafh ☠
aafh ☢
aafh ☣
aafh ☭
aafh ☯
aafh ☹
aafh ☺
aafh ☻
aafh Ç
aafh ç
aafh ¢
aafh Ð
aafh ¶
aafh É
aafh æ
aafh ½
aafh Ë
aafh ë
aafh È
aafh Ê
aafh ⅟
aafh ㎇
aafh ¬
aafh ƒ
aafh †
aafh ‡
aafh Í
aafk 可可西里
aafs ⅟
aafs ‰
aafs ‱
aafs ½
aafs ⅓
aafs ⅔
aafs ⅕
aafs ⅖
aafs ⅗
aafs ⅘
aafs ⅙
aafs ⅚
aafs ⅛
aafs ⅜
aafs ⅝
aafs ⅞
aafy 百无禁忌
aaga 一天天
aaga 天下太平
aagd 天下大事
aagk 无可厚非
aagl 平顶山
aagm 天下大乱
aagm 万死不辞
aagn 无可奈何
aagn 无恶不作
aagn 无可奈何花落去
aags 无可否认
aahb ￥
aahb ＄
aahb €
aahb ￡
aahb ￠
aahb ¤
aahb ¥
aahk 一天到晚
aahk ▁
aahk ▂
aahk ▃
aahk ▄
aahk ▅
aahk ▆
aahk ▇
aahk █
aahk ▉
aahk ▊
aahk ▋
aahk ▌
aahk ▍
aahk ▎
aahk ▏
aahk ▓
aahk ▔
aahk ▕
aahl 平武县
aahx ＿
aahx ￣
aahx ˉ
aahx ﹉
aahx ﹊
aahx ﹍
aahx ﹎
aai 亍
aaid 天下事
aaid Å
aaii 一丁点
aaim 副政委
aaiy 一下子
aaiy 两下子
aajg ⿰
aajg ⿱
aajg ⿲
aajg ⿳
aajg ⿴
aajg ⿵
aajg ⿶
aajg ⿷
aajg ⿸
aajg ⿹
aajg ⿺
aajg ⿻
aajj 一再嘱咐
aajj 吞吞吐吐
aajp ァ
aajp ア
aajp ィ
aajp イ
aajp ゥ
aajp ウ
aajp ェ
aajp エ
aajp ォ
aajp オ
aajp カ
aajp ガ
aajp キ
aajp ギ
aajp ク
aajp グ
aajp ケ
aajp ゲ
aajp コ
aajp ゴ
aajp サ
aajp ザ
aajp シ
aajp ジ
aajp ス
aajp ズ
aajp セ
aajp ゼ
aajp ソ
aajp ゾ
aajp タ
aajp ダ
aajp チ
aajp ヂ
aajp ッ
aajp ツ
aajp ヅ
aajp テ
aajp デ
aajp ト
aajp ド
aajp ナ
aajp ニ
aajp ヌ
aajp ネ
aajp ノ
aajp ハ
aajp バ
aajp パ
aajp ヒ
aajp ビ
aajp ピ
aajp フ
aajp ブ
aajp プ
aajp ヘ
aajp ベ
aajp ペ
aajp ホ
aajp ボ
aajp ポ
aajp マ
aajp ミ
aajp ム
aajp メ
aajp モ
aajp ャ
aajp ヤ
aajp ュ
aajp ユ
aajp ョ
aajp ヨ
aajp ラ
aajp リ
aajp ル
aajp レ
aajp ロ
aajp ヮ
aajp ワ
aajp ヰ
aajp ヱ
aajp ヲ
aajp ン
aajp ヴ
aajp ヵ
aajp ヶ
aajp ー
aajp ヽ
aajp ヾ
aajp ヷ
aajp ヸ
aajp ヹ
aajp ヺ
aajp ・
aajp ゠
aajp ヿ
aajt →
aajt ↑
aajt ←
aajt ↓
aajt ↖
aajt ↗
aajt ↘
aajt ↙
aajt ↔
aajt ↕
aajt ↰
aajt ↱
aajt ↲
aajt ↳
aajt ↴
aajt ↵
aajt ↶
aajt ↷
aajt ↼
aajt ↽
aajt ↾
aajt ↿
aajt ⇀
aajt ⇁
aajt ⇂
aajt ⇃
aajt ↹
aajt ↺
aajt ↻
aajt ⇄
aajt ⇅
aajt ⇆
aajt ⇇
aajt ⇈
aajt ⇉
aajt ⇊
aajt ⇋
aajt ⇌
aajt ⇍
aajt ⇎
aajt ⇏
aajt ⇐
aajt ⇑
aajt ⇒
aajt ⇓
aajt ⇔
aajt ⇕
aajt ⇖
aajt ⇗
aajt ⇘
aajt ⇙
aajt ⇚
aajt ⇛
aajt ⇜
aajt ⇝
aajt ⇞
aajt ⇟
aajt ⇠
aajt ⇡
aajt ⇢
aajt ⇣
aajt ⇤
aajt ⇥
aajt ⇦
aajt ⇧
aajt ⇨
aajt ⇩
aajt ⇪
aajt ↩
aajt ↪
aajt ↤
aajt ↥
aajt ↦
aajt ↧
aajt ↞
aajt ↟
aajt ↠
aajt ↡
aajt ↚
aajt ↛
aajt ↢
aajt ↣
aajt ↨
aajt ↫
aajt ↬
aajt ↭
aajt ↮
aajt ↜
aajt ↝
aajt ↯
aajt ↸
aajt ➔
aajt ➘
aajt ➙
aajt ➚
aajt ➛
aajt ➜
aajt ➝
aajt ➞
aajt ➟
aajt ➠
aajt ➡
aajt ➢
aajt ➣
aajt ➤
aajt ➥
aajt ➦
aajt ➧
aajt ➨
aajt ➩
aajt ➪
aajt ➫
aajt ➬
aajt ➭
aajt ➮
aajt ➱
aajt ➲
aajt ➳
aajt ➴
aajt ➵
aajt ➶
aajt ➷
aajt ➸
aajt ➹
aajt ➺
aajt ➻
aajt ➼
aajt ➽
aajt ➾
aakh （）
aakh 【】
aakh 〖〗
aakh 〔〕
aakh 《》
aakh ［］
aakh ｛｝
aakh 〈〉
aakh ‹›
aakh «»
aakh ︵︶
aakh ︹︺
aakh ︷︸
aakh ︿﹀
aakh ︽︾
aakh ＾ˇ
aakh ︻︼
aakh ❨❩
aakh ❪❫
aakh ❬❭
aakh ❮❯
aakh ❰❱
aakh ❲❳
aakh ❴❵
aakk 平平常常
aakl 两天晒网
