;fcitx 版本 0x03 码表文件
键码=abcdefghijklmnopqrstuvwxyz
码长=5
构词=^
[组词规则]
e2=p11+p12+p21+p22+p00
e3=p11+p21+p22+p31+p32
e4=p11+p21+p31+p41+p42
a5=p11+p21+p31+p41+p51
[数据]
^av 一
^ai 丁
^az 丂
^hd 七
^ia 丄
^ai 丅
^ga 丆
^ay 万
^ao 丈
^cd 三
^iv 上
^ai 下
^an 丌
^gi 不
^az 与
^ai 丏
^ai 丐
^xe 丑
^ys 丒
^bz 专
^lc 且
^ga 丕
^ev 世
^ea 丗
^pd 丘
^al 丙
^ku 业
^oo 丛
^hk 东
^zz 丝
^xk 丞
^cz 丟
^tr 丠
^al 両
^mb 丢
^an 丣
^al 两
^ak 严
^uk 並
^eu 丧
^ia 丨
^zi 丩
^ov 个
^ui 丫
^ti 丬
^jv 中
^yb 丮
^ci 丯
^ci 丰
^zi 丱
^jj 串
^jj 丳
^km 临
^ku 丵
^sa 丶
^ud 丷
^qs 丸
^qs 丹
^uv 为
^sc 主
^bn 丼
^al 丽
^va 举
^ma 丿
^yd 乀
^yd 乁
^os 乂
^ym 乃
^zs 乄
^rs 久
^zo 乆
^mh 乇
^mz 么
^so 义
^mu 乊
^wa 之
^rz 乌
^mi 乍
^mu 乎
^mw 乏
^rk 乐
^gq 乑
^pm 乒
^ps 乓
^mg 乔
^pb 乕
^mt 乖
^me 乗
^mt 乘
^yd 乙
^za 乚
^xa 乛
^yz 乜
^qy 九
^my 乞
^yi 也
^yt 习
^zz 乡
^lz 乢
^zz 乣
^ai 乤
^mu 乥
^xy 书
^te 乧
^zj 乨
^ij 乩
^yk 乪
^yj 乫
^hx 乬
^gy 乭
^rm 乮
^mu 乯
^xt 买
^mz 乱
^tr 乲
^py 乳
^dp 乴
^sz 乵
^fy 乶
^vk 乷
^yz 乸
^ek 乹
^px 乺
^so 乻
^vs 乼
^by 乽
^ek 乾
^pz 乿
^rk 亀
^ek 亁
^px 亂
^ur 亃
^bw 亄
^ia 亅
^yv 了
^ri 亇
^xx 予
^rx 争
^du 亊
^dj 事
^bd 二
^bi 亍
^ad 于
^bz 亏
^bz 亐
^bz 云
^bz 互
^bn 亓
^bx 五
^bn 井
^bb 亖
^lb 亗
^bk 亘
^br 亙
^ak 亚
^ir 些
^bj 亜
^zz 亝
^bz 亞
^yj 亟
^sa 亠
^sh 亡
^sq 亢
^sn 亣
^so 交
^sz 亥
^sn 亦
^sm 产
^sj 亨
^sk 亩
^sn 亪
^sj 享
^sj 京
^sj 亭
^sj 亮
^sj 亯
^sk 亰
^sn 亱
^sf 亲
^sj 亳
^sj 亴
^sd 亵
^sj 亶
^sm 亷
^sj 亸
^sn 亹
^od 人
^na 亻
^oa 亼
^os 亽
^zo 亾
^ny 亿
^ne 什
^nb 仁
^ny 仂
^na 仃
^go 仄
^nx 仅
^ni 仆
^nq 仇
^no 仈
^nq 仉
^os 今
^on 介
^oo 仌
^ny 仍
^oo 从
^nz 仏
^oe 仐
^or 仑
^ot 仒
^oy 仓
^ny 仔
^nb 仕
^nv 他
^na 仗
^nd 付
^nl 仙
^ol 仚
^nm 仛
^nb 仜
^ob 仝
^ny 仞
^nm 仟
^na 仠
^nm 仡
^nr 仢
^nh 代
^ow 令
^zo 以
^nk 仦
^ia 仧
^nc 仨
^ni 仩
^ns 仪
^nm 仫
^nt 们
^ny 仭
^np 仮
^nk 仯
^nr 仰
^no 仱
^nj 仲
^nr 仳
^nq 仴
^nm 仵
^nm 件
^no 价
^nm 仸
^nc 仹
^oh 仺
^nm 任
^nc 仼
^no 份
^nb 仾
^ns 仿
^no 伀
^oi 企
^na 伂
^nx 伃
^ny 伄
^nh 伅
^nr 伆
^nq 伇
^nw 伈
^ns 伉
^nx 伊
^ny 伋
^ng 伌
^nb 伍
^ne 伎
^ng 伏
^nh 伐
^nf 休
^np 伒
^ng 伓
^nw 伔
^nb 伕
^ng 伖
^oo 众
^ng 优
^nu 伙
^ob 会
^nh 伛
^nq 伜
^nb 伝
^ou 伞
^nb 伟
^nb 传
^nh 伡
^nh 伢
^nl 伣
^nm 伤
^nc 伥
^no 伦
^no 伧
^nr 伨
^ns 伩
^nu 伪
^nw 伫
^nx 伬
^ns 伭
^nz 伮
^nn 伯
^ne 估
^no 伱
^nx 伲
^ne 伳
^nu 伴
^nl 伵
^no 伶
^nk 伷
^nk 伸
^nl 伹
^ny 伺
^na 伻
^nz 似
^ny 伽
^ng 伾
^nj 伿
^ny 佀
^nz 佁
^na 佂
^nk 佃
^ne 佄
^nb 佅
^nk 但
^nw 佇
^ng 佈
^nb 佉
^nx 佊
^ny 佋
^ni 佌
^ns 位
^nr 低
^ns 住
^ng 佐
^ng 佑
^nl 佒
^nf 体
^ni 佔
^na 何
^nw 佖
^nw 佗
^ob 佘
^om 余
^nm 佚
^ny 佛
^nm 作
^nr 佝
^nb 佞
^nr 佟
^nr 你
^no 佡
^nh 佢
^nl 佣
^na 佤
^ob 佥
^ng 佦
^ni 佧
^nr 佨
^nq 佩
^nj 佪
^nr 佫
^nb 佬
^nr 佭
^no 佮
^nu 佯
^na 佰
^ob 佱
^nr 佲
^nb 佳
^nc 佴
^nu 併
^nb 佶
^nx 佷
^nm 佸
^nr 佹
^no 佺
^nv 佻
^ns 佼
^nt 佽
^no 佾
^na 使
^na 侀
^nm 侁
^nt 侂
^nj 侃
^nh 侄
^ns 侅
^fo 來
^ng 侇
^nr 侈
^ng 侉
^nk 侊
^na 例
^os 侌
^nb 侍
^nu 侎
^nm 侏
^nm 侐
^ng 侑
^nw 侒
^nx 侓
^nz 侔
^ng 侕
^oa 侖
^nl 侗
^nw 侘
^nh 侙
^nr 侚
^ne 供
^np 侜
^ns 依
^nz 侞
^ng 侟
^nb 侠
^nf 価
^na 侢
^nj 侣
^nb 侤
^nh 侥
^ni 侦
^nl 侧
^nm 侨
^no 侩
^ns 侪
^ns 侫
^nw 侬
