;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p22+p31
a4=p11+p21+p31+n11
[Data]
a 一
aa 一下
aaac 一无可取
aaag 无可无不可
aaal 百无一用
aaam 万无一失
aaam 天下无敌
aaar 可丁可卯
aaav 可歌可泣
aaaw 天下一家
aaax 天下无双
aaax 天下无难事
aaax 天下无难事，只怕有心人
aabd ；
aabd …
aabd 「」
aabd 『』
aabd —
aabd ！
aabd 、
aabd ？
aabd ˉ
aabd ˇ
aabd ¨
aabd 々
aabd ～
aabd ‖
aabd ∶
aabd ＂
aabd ｜
aabd “”
aabd ‘’
aabd 《》
aabd 〈〉
aabd 〔〕
aabd 【】
aabd 〖〗
aabd （）
aabd ［］
aabd ｛｝
aabd ．
aabd 。
aabd ，
aabd ︵
aabd ︶
aabd ︷
aabd ︸
aabd ︻
aabd ︼
aabe 天干地支
aabk 严正声明
aabk 天无二日
aabl ～
aabl ﹏
aabl ﹋
aabl ﹌
aabr 无一幸免
aabt 一干二净
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aaby 
aacc 平平静静
aacf 百无聊赖
aacm 无可奉告
aadc 无可指责
aadd 严刑拷打
aade 无可救药
aadj 无可挽回
aadk 无可挑剔
aadt 殊死搏斗
aadw ℃
aadw °
aadw ℉
aadw ㎡
aadw ％
aadw ‰
aadw 〒
aaed А
aaed Б
aaed В
aaed Г
aaed Д
aaed Е
aaed Ж
aaed З
aaed И
aaed Й
aaed К
aaed Л
aaed М
aaed Н
aaed О
aaed П
aaed Р
aaed С
aaed Т
aaed У
aaed Ф
aaed Х
aaed Ц
aaed Ч
aaed Ш
aaed Щ
aaed Ъ
aaed Ы
aaed Ь
aaed Э
aaed Ю
aaed Я
aaed Ё
aaed á
aaej 无形中
aaem 天下苍生
aaen 死无葬身之地
aaeq 死刑犯
aaeu 平型关
aaex а
aaex б
aaex в
aaex г
aaex д
aaex е
aaex ж
aaex з
aaex и
aaex й
aaex к
aaex л
aaex м
aaex н
aaex о
aaex п
aaex р
aaex с
aaex т
aaex у
aaex ф
aaex х
aaex ц
aaex ч
aaex ш
aaex щ
aaex ъ
aaex ы
aaex ь
aaex э
aaex ю
aaex я
aaex ё
aaex á
aaez 一开始
aafa 天下本无事，庸人自扰之
aafh ℃
aafh °
aafh ‰
aafh ♂
aafh ♀
aafh §
aafh №
aafh ＃
aafh ＆
aafh ＠
aafh ※
aafh ＼
aafh ＾
aafh ˇ
aafh ☆
aafh ★
aafh ○
aafh ●
aafh ◎
aafh ◇
aafh ◆
aafh □
aafh ■
aafh △
aafh ▲
aafh ▼
aafh ▽
aafh ◢
aafh ◣
aafh ◤
aafh ◥
aafh 〓
aafh ▓
aafh ℡
aafh ㈱
aafh ㊣
aafh ＿
aafh ￣
aafh ╬
aafh ﹏
aafh ℅
aafh ˉ
aafh ﹉
aafh ﹊
aafh ﹍
aafh ﹎
aafh ﹋
aafh ﹌
aafh ￠
aafh D
aafh é
aafh è
aafh ê
aafh í
aafk 可可西里山
aafs ‰
aafy 百无禁忌
aaga 一天天
aaga 天下太平
aagd 天下大事
